Segment,Start,End,NGS_read_count
439504|A/Anhui/1/2013|PB2,1625,1696,2
439504|A/Anhui/1/2013|PB2,164,2179,1
439504|A/Anhui/1/2013|PB2,165,2024,1
439504|A/Anhui/1/2013|PB2,172,1949,3
439504|A/Anhui/1/2013|PB2,172,2008,5
439504|A/Anhui/1/2013|PB2,172,2112,2
439504|A/Anhui/1/2013|PB2,185,2109,6
439504|A/Anhui/1/2013|PB2,192,2171,1
439504|A/Anhui/1/2013|PB2,194,2008,3
439504|A/Anhui/1/2013|PB2,198,2006,5
439504|A/Anhui/1/2013|PB2,203,1797,2
439504|A/Anhui/1/2013|PB2,2110,2149,1
439504|A/Anhui/1/2013|PB2,2124,2150,1
439504|A/Anhui/1/2013|PB2,214,1894,2
439504|A/Anhui/1/2013|PB2,218,2129,1
439504|A/Anhui/1/2013|PB2,219,1977,1
439504|A/Anhui/1/2013|PB2,250,2042,1
439504|A/Anhui/1/2013|PB2,267,2002,3
439504|A/Anhui/1/2013|PB2,278,2104,1
439504|A/Anhui/1/2013|PB2,301,1909,2
439504|A/Anhui/1/2013|PB2,330,393,1
439504|A/Anhui/1/2013|PB2,352,1935,4
439504|A/Anhui/1/2013|PB2,353,1806,4
439504|A/Anhui/1/2013|PB2,375,1861,1
439504|A/Anhui/1/2013|PB2,411,1820,1
439504|A/Anhui/1/2013|PB2,72,2111,1
439504|A/Anhui/1/2013|PB2,81,2113,5
439504|A/Anhui/1/2013|PB2,85,2115,1
439504|A/Anhui/1/2013|PB2,89,2113,1
439504|A/Anhui/1/2013|PB2,89,2139,1
439504|A/Anhui/1/2013|PB2,90,2112,1
439504|A/Anhui/1/2013|PB2,93,150,5
439504|A/Anhui/1/2013|PB2,94,2112,5
439505|A/Anhui/1/2013|NP,1007,1040,1
439505|A/Anhui/1/2013|NP,1007,1056,1
439505|A/Anhui/1/2013|NP,1012,1056,1
439505|A/Anhui/1/2013|NP,1275,1351,1
439505|A/Anhui/1/2013|NP,173,1165,1
439505|A/Anhui/1/2013|NP,272,732,1
439505|A/Anhui/1/2013|NP,769,836,1
439505|A/Anhui/1/2013|NP,771,1366,1
439505|A/Anhui/1/2013|NP,88,1324,1
439505|A/Anhui/1/2013|NP,925,1094,1
439506|A/Anhui/1/2013|MP,180,701,1
439506|A/Anhui/1/2013|MP,183,716,1
439506|A/Anhui/1/2013|MP,27,716,61
439506|A/Anhui/1/2013|MP,280,734,1
439506|A/Anhui/1/2013|MP,477,784,1
439507|A/Anhui/1/2013|HA,103,1482,1
439507|A/Anhui/1/2013|HA,1069,1418,1
439507|A/Anhui/1/2013|HA,1074,1215,2
439507|A/Anhui/1/2013|HA,110,1440,1
439507|A/Anhui/1/2013|HA,111,1472,1
439507|A/Anhui/1/2013|HA,114,1420,1
439507|A/Anhui/1/2013|HA,1278,1430,1
439507|A/Anhui/1/2013|HA,1336,1385,2
439507|A/Anhui/1/2013|HA,136,800,1
439507|A/Anhui/1/2013|HA,1427,1457,5
439507|A/Anhui/1/2013|HA,1438,1464,1
439507|A/Anhui/1/2013|HA,1471,1503,1
439507|A/Anhui/1/2013|HA,1475,1506,35
439507|A/Anhui/1/2013|HA,150,1374,30
439507|A/Anhui/1/2013|HA,150,1481,2
439507|A/Anhui/1/2013|HA,150,1484,2
439507|A/Anhui/1/2013|HA,1546,1576,2
439507|A/Anhui/1/2013|HA,156,1335,1
439507|A/Anhui/1/2013|HA,179,1384,1
439507|A/Anhui/1/2013|HA,180,1467,15
439507|A/Anhui/1/2013|HA,183,1496,3
439507|A/Anhui/1/2013|HA,190,1438,1
439507|A/Anhui/1/2013|HA,190,1443,1
439507|A/Anhui/1/2013|HA,190,1463,1
439507|A/Anhui/1/2013|HA,199,1286,1
439507|A/Anhui/1/2013|HA,201,1474,1
439507|A/Anhui/1/2013|HA,202,1428,1
439507|A/Anhui/1/2013|HA,202,1465,8
439507|A/Anhui/1/2013|HA,202,1519,3
439507|A/Anhui/1/2013|HA,212,1297,2
439507|A/Anhui/1/2013|HA,212,1505,1
439507|A/Anhui/1/2013|HA,246,270,1
439507|A/Anhui/1/2013|HA,290,1344,1
439507|A/Anhui/1/2013|HA,30,1466,1
439507|A/Anhui/1/2013|HA,313,1236,1
439507|A/Anhui/1/2013|HA,313,1336,2
439507|A/Anhui/1/2013|HA,331,1307,2
439507|A/Anhui/1/2013|HA,443,563,1
439507|A/Anhui/1/2013|HA,468,1105,2
439507|A/Anhui/1/2013|HA,526,722,1
439507|A/Anhui/1/2013|HA,538,565,2
439507|A/Anhui/1/2013|HA,639,1068,1
439507|A/Anhui/1/2013|HA,669,814,1
439507|A/Anhui/1/2013|HA,725,764,1
439507|A/Anhui/1/2013|HA,792,1432,1
439508|A/Anhui/1/2013|PB1,1025,1265,2
439508|A/Anhui/1/2013|PB1,107,2168,34
439508|A/Anhui/1/2013|PB1,108,139,2
439508|A/Anhui/1/2013|PB1,109,2066,5
439508|A/Anhui/1/2013|PB1,111,143,2
439508|A/Anhui/1/2013|PB1,112,2050,2
439508|A/Anhui/1/2013|PB1,112,2089,1
439508|A/Anhui/1/2013|PB1,113,141,1
439508|A/Anhui/1/2013|PB1,113,143,5
439508|A/Anhui/1/2013|PB1,113,2061,1
439508|A/Anhui/1/2013|PB1,113,2086,3
439508|A/Anhui/1/2013|PB1,113,2105,42
439508|A/Anhui/1/2013|PB1,113,2108,9
439508|A/Anhui/1/2013|PB1,113,2117,4
439508|A/Anhui/1/2013|PB1,113,2170,1
439508|A/Anhui/1/2013|PB1,114,148,3
439508|A/Anhui/1/2013|PB1,114,191,1
439508|A/Anhui/1/2013|PB1,114,2121,1
439508|A/Anhui/1/2013|PB1,115,141,1
439508|A/Anhui/1/2013|PB1,115,143,6
439508|A/Anhui/1/2013|PB1,115,2021,3
439508|A/Anhui/1/2013|PB1,115,2061,1
439508|A/Anhui/1/2013|PB1,115,2117,1
439508|A/Anhui/1/2013|PB1,119,2104,3
439508|A/Anhui/1/2013|PB1,119,2107,5
439508|A/Anhui/1/2013|PB1,120,1982,1
439508|A/Anhui/1/2013|PB1,120,2065,10
439508|A/Anhui/1/2013|PB1,120,2079,2
439508|A/Anhui/1/2013|PB1,120,224,4
439508|A/Anhui/1/2013|PB1,121,2079,3
439508|A/Anhui/1/2013|PB1,122,1971,1
439508|A/Anhui/1/2013|PB1,122,2006,1
439508|A/Anhui/1/2013|PB1,122,2021,5
439508|A/Anhui/1/2013|PB1,122,2086,3
439508|A/Anhui/1/2013|PB1,122,2108,9
439508|A/Anhui/1/2013|PB1,123,148,3
439508|A/Anhui/1/2013|PB1,124,151,1
439508|A/Anhui/1/2013|PB1,124,2105,3
439508|A/Anhui/1/2013|PB1,125,148,3
439508|A/Anhui/1/2013|PB1,125,2180,1
439508|A/Anhui/1/2013|PB1,133,173,23
439508|A/Anhui/1/2013|PB1,134,1713,2
439508|A/Anhui/1/2013|PB1,134,2065,2
439508|A/Anhui/1/2013|PB1,138,2021,1
439508|A/Anhui/1/2013|PB1,138,2086,5
439508|A/Anhui/1/2013|PB1,138,2105,4
439508|A/Anhui/1/2013|PB1,139,164,10
439508|A/Anhui/1/2013|PB1,139,2039,7
439508|A/Anhui/1/2013|PB1,139,2064,1
439508|A/Anhui/1/2013|PB1,139,2068,8
439508|A/Anhui/1/2013|PB1,139,2089,1
439508|A/Anhui/1/2013|PB1,140,2033,4
439508|A/Anhui/1/2013|PB1,140,2067,19
439508|A/Anhui/1/2013|PB1,140,2081,12
439508|A/Anhui/1/2013|PB1,140,2105,5
439508|A/Anhui/1/2013|PB1,140,2117,2
439508|A/Anhui/1/2013|PB1,141,1981,1
439508|A/Anhui/1/2013|PB1,141,2050,1
439508|A/Anhui/1/2013|PB1,141,2064,10
439508|A/Anhui/1/2013|PB1,141,2075,105
439508|A/Anhui/1/2013|PB1,142,2021,3
439508|A/Anhui/1/2013|PB1,142,2030,9
439508|A/Anhui/1/2013|PB1,142,2067,11
439508|A/Anhui/1/2013|PB1,142,2086,9
439508|A/Anhui/1/2013|PB1,142,2105,49
439508|A/Anhui/1/2013|PB1,142,2187,3
439508|A/Anhui/1/2013|PB1,143,2094,5
439508|A/Anhui/1/2013|PB1,145,1981,7
439508|A/Anhui/1/2013|PB1,146,178,3
439508|A/Anhui/1/2013|PB1,146,2027,11
439508|A/Anhui/1/2013|PB1,146,2058,57
439508|A/Anhui/1/2013|PB1,146,2091,2
439508|A/Anhui/1/2013|PB1,146,2105,4
439508|A/Anhui/1/2013|PB1,155,2007,6
439508|A/Anhui/1/2013|PB1,1605,1671,2
439508|A/Anhui/1/2013|PB1,164,2079,108
439508|A/Anhui/1/2013|PB1,174,1965,7
439508|A/Anhui/1/2013|PB1,174,2078,6
439508|A/Anhui/1/2013|PB1,174,2089,5
439508|A/Anhui/1/2013|PB1,175,1968,1
439508|A/Anhui/1/2013|PB1,175,2006,3
439508|A/Anhui/1/2013|PB1,175,2037,1
439508|A/Anhui/1/2013|PB1,175,2105,9
439508|A/Anhui/1/2013|PB1,176,2031,2
439508|A/Anhui/1/2013|PB1,176,2056,2
439508|A/Anhui/1/2013|PB1,183,2026,19
439508|A/Anhui/1/2013|PB1,184,2079,3
439508|A/Anhui/1/2013|PB1,191,2069,1
439508|A/Anhui/1/2013|PB1,1935,1976,1
439508|A/Anhui/1/2013|PB1,194,2021,3
439508|A/Anhui/1/2013|PB1,195,2007,47
439508|A/Anhui/1/2013|PB1,1969,2015,1
439508|A/Anhui/1/2013|PB1,196,1991,1
439508|A/Anhui/1/2013|PB1,1981,2008,1
439508|A/Anhui/1/2013|PB1,198,1975,3
439508|A/Anhui/1/2013|PB1,199,2021,1
439508|A/Anhui/1/2013|PB1,200,2007,7
439508|A/Anhui/1/2013|PB1,201,2008,1
439508|A/Anhui/1/2013|PB1,2051,2085,1
439508|A/Anhui/1/2013|PB1,2054,2086,5
439508|A/Anhui/1/2013|PB1,205,1985,82
439508|A/Anhui/1/2013|PB1,2066,2105,1
439508|A/Anhui/1/2013|PB1,207,2206,1
439508|A/Anhui/1/2013|PB1,2085,2108,1
439508|A/Anhui/1/2013|PB1,2085,2117,1
439508|A/Anhui/1/2013|PB1,208,1982,1
439508|A/Anhui/1/2013|PB1,208,2007,3
439508|A/Anhui/1/2013|PB1,208,2010,1
439508|A/Anhui/1/2013|PB1,208,2065,1
439508|A/Anhui/1/2013|PB1,209,2030,2
439508|A/Anhui/1/2013|PB1,209,2058,2
439508|A/Anhui/1/2013|PB1,209,2105,1
439508|A/Anhui/1/2013|PB1,210,1936,1
439508|A/Anhui/1/2013|PB1,212,1851,1
439508|A/Anhui/1/2013|PB1,213,1968,2
439508|A/Anhui/1/2013|PB1,220,1989,1
439508|A/Anhui/1/2013|PB1,223,1998,11
439508|A/Anhui/1/2013|PB1,224,2006,1
439508|A/Anhui/1/2013|PB1,229,2067,2
439508|A/Anhui/1/2013|PB1,240,2005,1
439508|A/Anhui/1/2013|PB1,241,1928,1
439508|A/Anhui/1/2013|PB1,242,2106,1
439508|A/Anhui/1/2013|PB1,247,1966,5
439508|A/Anhui/1/2013|PB1,251,1971,1
439508|A/Anhui/1/2013|PB1,252,2007,1
439508|A/Anhui/1/2013|PB1,253,1847,1
439508|A/Anhui/1/2013|PB1,256,1997,2
439508|A/Anhui/1/2013|PB1,257,2030,10
439508|A/Anhui/1/2013|PB1,259,2005,10
439508|A/Anhui/1/2013|PB1,261,2005,2
439508|A/Anhui/1/2013|PB1,262,1913,11
439508|A/Anhui/1/2013|PB1,262,2051,1
439508|A/Anhui/1/2013|PB1,264,1857,9
439508|A/Anhui/1/2013|PB1,264,2030,2
439508|A/Anhui/1/2013|PB1,267,1928,23
439508|A/Anhui/1/2013|PB1,275,1876,1
439508|A/Anhui/1/2013|PB1,275,2005,11
439508|A/Anhui/1/2013|PB1,276,1875,2
439508|A/Anhui/1/2013|PB1,276,1913,1
439508|A/Anhui/1/2013|PB1,276,1973,2
439508|A/Anhui/1/2013|PB1,276,2106,9
439508|A/Anhui/1/2013|PB1,277,1934,6
439508|A/Anhui/1/2013|PB1,277,1967,2
439508|A/Anhui/1/2013|PB1,282,1963,1
439508|A/Anhui/1/2013|PB1,285,1946,2
439508|A/Anhui/1/2013|PB1,287,1848,4
439508|A/Anhui/1/2013|PB1,302,1846,1
439508|A/Anhui/1/2013|PB1,319,1917,2
439508|A/Anhui/1/2013|PB1,320,1839,1
439508|A/Anhui/1/2013|PB1,321,1970,1
439508|A/Anhui/1/2013|PB1,332,1867,32
439508|A/Anhui/1/2013|PB1,346,1975,1
439508|A/Anhui/1/2013|PB1,350,1852,11
439508|A/Anhui/1/2013|PB1,350,1965,17
439508|A/Anhui/1/2013|PB1,351,1868,2
439508|A/Anhui/1/2013|PB1,351,1898,10
439508|A/Anhui/1/2013|PB1,353,1874,1
439508|A/Anhui/1/2013|PB1,354,1990,1
439508|A/Anhui/1/2013|PB1,360,1767,1
439508|A/Anhui/1/2013|PB1,361,1883,32
439508|A/Anhui/1/2013|PB1,365,1859,1
439508|A/Anhui/1/2013|PB1,365,1862,2
439508|A/Anhui/1/2013|PB1,365,2005,33
439508|A/Anhui/1/2013|PB1,366,1875,2
439508|A/Anhui/1/2013|PB1,366,2198,1
439508|A/Anhui/1/2013|PB1,367,1730,1
439508|A/Anhui/1/2013|PB1,367,1868,6
439508|A/Anhui/1/2013|PB1,436,1688,1
439508|A/Anhui/1/2013|PB1,441,1662,1
439508|A/Anhui/1/2013|PB1,446,1848,1
439508|A/Anhui/1/2013|PB1,502,1665,6
439508|A/Anhui/1/2013|PB1,510,1538,1
439508|A/Anhui/1/2013|PB1,510,2129,1
439508|A/Anhui/1/2013|PB1,512,1664,2
439508|A/Anhui/1/2013|PB1,519,1662,2
439508|A/Anhui/1/2013|PB1,526,1697,1
439508|A/Anhui/1/2013|PB1,531,1651,2
439508|A/Anhui/1/2013|PB1,546,1667,6
439508|A/Anhui/1/2013|PB1,602,1527,1
439508|A/Anhui/1/2013|PB1,650,1561,2
439508|A/Anhui/1/2013|PB1,89,2117,2
439509|A/Anhui/1/2013|NA,101,1077,1
439509|A/Anhui/1/2013|NA,1202,1224,1
439509|A/Anhui/1/2013|NA,134,188,1
439509|A/Anhui/1/2013|NA,170,1144,1
439509|A/Anhui/1/2013|NA,186,1189,1
439509|A/Anhui/1/2013|NA,190,1031,3
439509|A/Anhui/1/2013|NA,202,1075,2
439509|A/Anhui/1/2013|NA,249,1075,1
439509|A/Anhui/1/2013|NA,263,1133,1
439509|A/Anhui/1/2013|NA,286,1198,2
439509|A/Anhui/1/2013|NA,713,763,1
439509|A/Anhui/1/2013|NA,74,1228,3
439509|A/Anhui/1/2013|NA,93,1241,2
439510|A/Anhui/1/2013|NS,152,504,1
439510|A/Anhui/1/2013|NS,177,620,1
439510|A/Anhui/1/2013|NS,189,244,1
439510|A/Anhui/1/2013|NS,223,667,2
439510|A/Anhui/1/2013|NS,232,509,1
439510|A/Anhui/1/2013|NS,31,504,60
439510|A/Anhui/1/2013|NS,62,89,1
439510|A/Anhui/1/2013|NS,697,741,1
439510|A/Anhui/1/2013|NS,705,756,1
